# Simulation 4 (Up to date)
# 528 data points written for 53 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-3.832e-4,-0.077,-7.665,0.077,7.665,0,0,0,0,0,0,45,0,9.806,92.082,0,0,0,71.253,23.094,0.001,1.026e-5,NaN,25.98,NaN,0.006,6.067e4,0.153,-1.362e-7,0.862,-1.018e-4,0.669,0.073,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.108,15,1013.25,340.389,0.01,0.018
0.02,-1.691e-4,-0.034,-3.382,0.034,3.382,0,0,0,0,0,0,45,0,9.806,90.921,0,0,0,71.247,23.088,0.001,1.026e-5,NaN,25.979,NaN,0.006,6.052e4,0.458,-1.187e-8,0.862,-8.912e-6,0.669,0.073,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.104,15,1013.25,340.389,0.01,0.021
0.03,4.509e-5,0.009,0.902,0.009,0.902,0,0,0,0,0,0,45,0,9.806,89.754,0,0,0,71.242,23.083,0.001,1.026e-5,NaN,25.978,NaN,0.006,6.04e4,0.763,0,0.863,1.714e-7,0.67,0.073,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.1,15,1013.25,340.389,0.01,0.023
0.04,4.888e-4,0.08,7.075,0.08,7.075,0,0,0,0,0,0,45,0,9.806,87.822,0,0,0,71.209,23.05,0.001,1.026e-5,NaN,25.973,NaN,0.006,6.033e4,1.202,1.542e-7,0.863,1.165e-4,0.67,0.073,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.096,15,1013.25,340.389,0.01,0.025
0.05,0.002,0.24,15.997,0.24,15.997,0,0,0,0,0,0,45,0,9.806,83.466,0,0,0,71.174,23.015,0.001,1.025e-5,NaN,25.968,NaN,0.006,6.057e4,1.836,3.998e-6,0.862,0.003,0.669,0.073,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.092,15,1013.25,340.389,0.01,0.027
0.06,0.006,0.489,24.95,0.489,24.95,0,0,0,0,0,0,45,0,9.806,76.884,0,0,0,71.139,22.98,0.001,1.025e-5,NaN,25.962,NaN,0.006,6.198e4,2.473,3.126e-5,0.858,0.022,0.665,0.073,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.099,15,1013.249,340.389,0.01,0.03
0.07,0.012,0.828,33.912,0.828,33.912,0,0,0,0,0,0,45,0,9.806,68.532,0,0,0,71.103,22.944,0.001,1.025e-5,NaN,25.956,NaN,0.007,6.507e4,3.109,1.346e-4,0.849,0.087,0.656,0.072,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.106,15,1013.249,340.389,0.01,0.031
# Event LIFTOFF occurred at t=0.08 seconds
0.08,0.023,1.257,42.88,1.257,42.88,0,0,0,0,0,0,45,0,9.806,59.248,0,0,0,71.068,22.909,0.001,1.025e-5,NaN,25.951,NaN,0.007,7.068e4,3.745,4.025e-4,0.833,0.222,0.642,0.072,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.112,15,1013.247,340.389,0.01,0.033
0.09,0.038,1.775,51.853,1.775,51.853,0,0,0,0,0,0,45,0,9.806,50.044,0,0,0,71.033,22.873,0.001,1.025e-5,NaN,25.945,NaN,0.008,7.949e4,4.381,9.384e-4,0.813,0.408,0.622,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.119,15,1013.246,340.389,0.01,0.035
0.1,0.059,2.404,62.908,2.404,62.908,0,0,0,0,0,0,45,0,9.806,41.483,0,0,0,70.953,22.794,0.001,1.024e-5,NaN,25.932,NaN,0.009,9.228e4,5.161,0.002,0.788,0.603,0.598,0.07,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.125,15,1013.243,340.389,0.01,0.036
0.11,0.087,3.185,78.195,3.185,78.195,0,0,0,0,0,0,45,0,9.806,33.794,0,0,0,70.863,22.704,0.001,1.024e-5,NaN,25.918,NaN,0.011,1.102e5,6.239,0.003,0.76,0.762,0.571,0.069,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.132,14.999,1013.24,340.389,0.01,0.039
0.12,0.123,4.121,93.639,4.121,93.639,0,0,0,0,0,0,45,0,9.806,27.423,0,0,0,70.772,22.613,0.001,1.024e-5,NaN,25.903,NaN,0.014,1.335e5,7.327,0.006,0.732,0.856,0.545,0.067,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.138,14.999,1013.236,340.388,0.01,0.042
0.13,0.17,5.212,109.112,5.212,109.112,0,0,0,0,0,0,45,0,9.806,22.368,0,0,0,70.682,22.523,0.001,1.023e-5,NaN,25.889,NaN,0.017,1.621e5,8.414,0.009,0.706,0.891,0.519,0.067,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.145,14.999,1013.23,340.388,0.01,0.043
0.14,0.228,6.457,124.601,6.457,124.601,0,0,0,0,0,0,45,0,9.806,18.426,0,0,0,70.586,22.427,0.001,1.023e-5,NaN,25.873,NaN,0.02,1.957e5,9.5,0.012,0.682,0.885,0.496,0.066,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.151,14.999,1013.223,340.388,0.01,0.045
0.15,0.3,7.833,137.688,7.833,137.688,0,0,0,0,0,0,45,0,9.806,15.401,0,0,0,70.439,22.28,0.001,1.022e-5,NaN,25.849,NaN,0.024,2.336e5,10.406,0.017,0.662,0.855,0.476,0.065,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.158,14.998,1013.215,340.388,0.01,0.047
0.16,0.386,9.322,149.07,9.322,149.07,0,0,0,0,0,0,45,0,9.806,13.179,0,0,0,70.292,22.132,0.001,1.022e-5,NaN,25.825,NaN,0.028,2.753e5,11.19,0.022,0.643,0.812,0.459,0.065,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.183,14.997,1013.205,340.387,0.01,0.049
0.17,0.487,10.926,160.487,10.926,160.487,0,0,0,0,0,0,45,0,9.806,11.426,0,0,0,70.144,21.985,0.001,1.021e-5,NaN,25.801,NaN,0.033,3.206e5,11.974,0.029,0.628,0.768,0.443,0.064,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.208,14.997,1013.193,340.387,0.01,0.051
0.179,0.594,12.495,171.436,12.495,171.436,0,0,0,0,0,0,45,0,9.806,10.126,0,0,0,70.01,21.851,0.001,1.021e-5,NaN,25.779,NaN,0.037,3.65e5,12.724,0.036,0.617,0.736,0.433,0.064,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.231,14.996,1013.18,340.387,0.009,0.053
0.187,0.7,13.945,181.253,13.945,181.253,0,0,0,0,0,0,45,0,9.806,9.172,0,0,0,69.892,21.733,0.001,1.02e-5,NaN,25.76,NaN,0.041,4.062e5,13.397,0.043,0.617,0.721,0.433,0.064,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.252,14.995,1013.168,340.386,0.008,0.054
0.194,0.805,15.297,188.693,15.297,188.693,0,0,0,0,0,0,45,0,9.806,8.439,0,0,0,69.784,21.625,0.001,1.02e-5,NaN,25.742,NaN,0.045,4.447e5,13.903,0.051,0.617,0.709,0.433,0.064,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.27,14.995,1013.156,340.386,0.007,0.056
0.201,0.908,16.466,179.074,16.466,179.074,0,0,0,0,0,0,45,0,9.806,7.89,0,0,0,69.682,21.523,0.001,1.019e-5,NaN,25.725,NaN,0.049,4.781e5,13.22,0.058,0.617,0.7,0.433,0.063,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.282,14.994,1013.143,340.385,0.007,0.058
# Event LAUNCHROD occurred at t=0.207 seconds
0.207,1.011,17.468,165.148,17.468,165.148,0,0,0,0,0,0,45,0,9.806,7.399,0,0,0,69.587,21.428,0.001,1.019e-5,NaN,25.709,NaN,0.052,5.066e5,12.239,0.065,0.617,0.692,0.433,0.063,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.269,14.993,1013.131,340.385,0.006,0.059
0.216,1.177,18.815,147.165,18.815,147.187,-1.053e-4,0,1.053e-4,-180,0.023,2.556,45,0,9.806,6.73,0,3.767,-2.316e-4,69.474,21.315,0.001,1.018e-5,30.201,25.69,1.804,0.056,5.446e5,10.979,0.073,0.617,0.681,0.433,0.063,0.12,1.677,3.024,-5.902e-5,0,0,0,0,9.451e-4,2.5,4.909,89.983,-0.002,2.248,14.992,1013.112,340.384,0.009,0.062
0.225,1.358,19.963,122.811,19.963,122.836,-4.332e-4,0,4.332e-4,-180,0.047,2.481,45,-5.517e-9,9.806,6.162,0,7.865,3.249e-4,69.366,21.207,0.001,1.018e-5,30.323,25.672,1.86,0.059,5.774e5,9.28,0.081,0.617,0.672,0.433,0.063,0.12,1.514,2.813,-1.019e-5,0,0,0,0,0.004,2.5,4.909,89.929,-0.003,2.227,14.991,1013.091,340.384,0.009,0.064
0.234,1.54,20.851,99.527,20.851,99.554,-9.497e-4,0,9.497e-4,-180,0.069,2.333,45,-1.209e-8,9.806,5.697,0,11.91,2.517e-4,69.274,21.115,0.001,1.018e-5,30.426,25.657,1.908,0.062,6.027e5,7.661,0.088,0.617,0.665,0.433,0.063,0.12,1.383,2.631,2.486e-4,0,0,0,0,0.008,2.5,4.909,89.841,-0.003,2.207,14.99,1013.069,340.383,0.009,0.065
0.243,1.726,21.616,87.462,21.616,87.488,-0.002,0,0.002,-180,0.088,2.114,45,-2.085e-8,9.806,5.266,-1.086e-6,15.919,-1.972e-4,69.201,21.042,0.001,1.017e-5,30.523,25.645,1.951,0.064,6.245e5,6.824,0.093,0.617,0.659,0.433,0.063,0.121,1.265,2.456,-6.344e-5,0,0,0,0,0.013,2.5,4.909,89.719,-0.002,2.188,14.989,1013.048,340.382,0.009,0.067
0.252,1.918,22.306,79.029,22.306,79.05,-0.002,-7.121e-9,0.002,-180,0.106,1.831,45,-3.166e-8,9.806,4.841,0,19.898,-5.244e-4,69.133,20.974,0.001,1.017e-5,30.622,25.633,1.996,0.066,6.441e5,6.239,0.099,0.617,0.653,0.433,0.063,0.121,1.15,2.276,-2.081e-5,0,0,0,0,0.019,2.5,4.909,89.562,-0.001,2.166,14.988,1013.025,340.381,0.009,0.068
0.261,2.118,22.978,75.977,22.978,75.991,-0.003,-1.232e-8,0.003,-180,0.12,1.44,45,-4.442e-8,9.806,4.388,-2.544e-6,23.84,-0.001,69.07,20.911,0.001,1.017e-5,30.73,25.623,2.043,0.068,6.632e5,6.027,0.104,0.617,0.648,0.433,0.063,0.121,1.03,2.078,-3.355e-4,0,0,0,0,0.026,2.5,4.909,89.369,-6.038e-4,2.138,14.986,1013.002,340.381,0.009,0.07
0.27,2.331,23.653,74.028,23.654,74.034,-0.005,-1.883e-8,0.005,-180,0.131,0.958,45,-5.909e-8,9.806,3.913,-1.407e-6,27.749,-5.586e-4,69.005,20.846,0.001,1.017e-5,30.846,25.612,2.094,0.07,6.825e5,5.892,0.109,0.617,0.642,0.433,0.063,0.121,0.907,1.867,4.681e-4,0,0,0,0,0.033,2.5,4.909,89.133,-2.954e-4,2.109,14.985,1012.977,340.38,0.009,0.072
0.279,2.561,24.344,71.991,24.344,71.992,-0.006,-2.638e-8,0.006,-180,0.138,0.381,45,-7.561e-8,9.806,3.406,1.721e-6,31.609,3.888e-4,68.937,20.778,0.001,1.016e-5,30.974,25.6,2.149,0.072,7.022e5,5.751,0.114,0.617,0.636,0.433,0.063,0.121,0.779,1.634,-4.635e-4,0,0,0,0,0.04,2.5,4.909,88.848,-1.192e-4,2.078,14.983,1012.95,340.379,0.01,0.074
0.29,2.816,25.066,69.812,25.066,69.813,-0.007,-3.491e-8,0.007,-180,0.139,0.31,45,-9.392e-8,9.806,2.852,5.847e-6,35.4,9.229e-4,68.863,20.704,0.001,1.016e-5,31.117,25.587,2.212,0.074,7.228e5,5.601,0.12,0.617,0.631,0.433,0.063,0.121,0.642,1.373,-4.345e-4,0,0,0,0,0.047,2.5,4.909,88.502,-1.036e-4,2.045,14.982,1012.92,340.378,0.01,0.075
0.301,3.112,25.853,67.812,25.853,67.822,-0.009,-4.474e-8,0.009,-180,0.131,1.163,45,-1.139e-7,9.806,2.235,-9.014e-6,39.07,-4.829e-4,68.787,20.628,0.001,1.016e-5,31.283,25.575,2.283,0.076,7.453e5,5.465,0.126,0.617,0.626,0.433,0.063,0.121,0.495,1.075,6.314e-5,0,0,0,0,0.054,2.5,4.909,88.069,-9.498e-5,2.013,14.98,1012.885,340.377,0.012,0.077
